date,pool,code,name,latest,change_rate,turnover_rate,currency_value_yi,reason_type,limit_up_type,high_days,open_num,first_limit_up_time,last_limit_up_time,first_limit_down_time,last_limit_down_time,turnover_yi,rise_rate
20260611,limit_up,002409,雅克科技,134.81,10.0041,18.098,429.4,存储芯片+HBM前驱体+半导体材料,换手板,2天2板,4,13:19:33,15:00:00,,,,
20260611,limit_up,002428,云南锗业,88.24,9.9975,19.9916,576.24,磷化铟涨价+光通信+锗业龙头,换手板,首板,6,11:00:03,14:54:00,,,,
20260611,limit_up,000688,国城矿业,45.32,10.0,4.3454,537.07,锂矿+钼矿整合+有色金属,换手板,首板,9,13:10:24,14:50:36,,,,
20260611,limit_up,688661,和林微纳,133.2,20.0,6.8579,202.31,AI芯片测试探针+HBM+券商看好,换手板,首板,3,13:22:39,14:48:06,,,,
20260611,limit_up,002490,山东墨龙,8.56,10.0257,19.606,46.37,霍尔木兹海峡关闭+油气装备+海外大单,换手板,4天2板,2,09:31:27,14:45:21,,,,
20260611,limit_up,603991,领先股份,120.21,10.0018,7.9627,89.6,半导体引线框架+半导体设备+一季报增长,换手板,首板,,14:43:36,14:43:36,,,,
20260611,limit_up,600353,旭光电子,29.94,9.9927,12.5641,248.15,真空灭弧室+氮化铝+韩国客户+可控核聚变,换手板,首板,4,10:51:53,14:43:05,,,,
20260611,limit_up,300505,川金诺,22.57,19.9894,25.8048,49.06,磷化工+埃及项目+产能扩张,换手板,首板,,14:40:00,14:40:00,,,,
20260611,limit_up,603318,水发燃气,9.85,10.0559,18.9304,45.22,氦气+燃气轮机+天然气+国企,换手板,首板,,14:13:26,14:13:26,,,,
20260611,limit_up,000921,海信家电,29.3,9.985,3.5207,269.01,家电+人形机器人+AI智慧家庭,换手板,首板,2,10:50:33,14:06:30,,,,
20260611,limit_up,002407,多氟多,38.19,9.9942,20.1314,411.98,半导体级氢氟酸+六氟磷酸锂+大圆柱电池,换手板,首板,,13:52:09,13:52:09,,,,
20260611,limit_up,603355,莱克电气,27.05,10.0041,0.6298,155.1,小家电+净水概念+电机+机器人,换手板,首板,,13:40:00,13:40:00,,,,
20260611,limit_up,002165,红宝丽,8.03,10.0,24.1565,58.43,环氧丙烷+技改试产+聚氨酯龙头,换手板,2天2板,1,13:27:24,13:38:09,,,,
20260611,limit_up,603155,新亚强,25.12,9.9825,11.9888,79.33,半导体材料+高纯四氯化硅+光纤概念+锂电池,换手板,2天2板,1,09:34:04,13:30:07,,,,
20260611,limit_up,002549,凯美特气,18.15,10.0,10.4158,125.66,电子特气+氦气+ASML认证,换手板,首板,,13:26:54,13:26:54,,,,
20260611,limit_up,600722,金牛化工,10.82,9.9593,15.2013,73.61,甲醇+河北国资,换手板,首板,2,11:17:43,13:24:46,,,,
20260611,limit_up,300706,阿石创,67.88,19.9929,30.9733,77.27,半导体靶材+股东户数下降+一季报扭亏,换手板,首板,,13:20:24,13:20:24,,,,
