pool,code,name,change_rate,high_days,reason_type,open_num
涨停,600228,返利科技,9.9877,首板,摘帽+在线导购+苹果概念,33
涨停,301176,逸豪新材,19.9941,3天3板,PCB铜箔+AI算力+产能扩张,5
涨停,002774,快意电梯,9.9726,首板,旧梯更新+电梯+出口,1
涨停,002303,美盈森,9.9698,首板,包装一体化+新能源包装+海外产能,11
涨停,600615,鑫源智造,9.9671,首板,智能割草机器人+无人割草机+农机+轻量化,2
涨停,603045,福达合金,10.0062,2天2板,AI数据中心+电接触材料+一季报扭亏+贵金属循环,53
涨停,688484,南芯科技,20.0046,首板,可转债发行+AI算力电源+芯片,5
涨停,002806,华锋股份,9.9894,2天2板,超级电容用材料+铝箔材+SiC控制器+实控人变更,90
涨停,002484,江海股份,9.9965,首板,AI服务器电源+超级电容+浙江国资,28
涨停,000032,深桑达A,9.9952,4天4板,半导体洁净室+中国电子云增资+AI算力,15
涨停,002080,中材科技,9.9985,2天2板,电子布涨价+AI算力+央企,38
涨停,605255,天普股份,10.0013,首板,中昊芯英入主+汽车管路+多次风险提示,
涨停,000564,供销大集,10.3448,首板,股份回购+零售+供销社+海南自贸港,1
涨停,603260,合盛硅业,10.0022,首板,碳化硅+有机硅+硅基新材料,1
涨停,603271,永杰新材,10.0,首板,重大资产重组+锂电池,11
涨停,603078,江化微,10.0094,首板,上海国资拟入主+G5湿电子化学品+存储芯片,
涨停,000034,神州数码,10.0166,首板,华为昇腾+AI算力+存储芯片,16
涨停,600458,时代新材,10.0,首板,半导体材料+超级电容+风电出海+央企,19
涨停,688635,长进光子,20.0005,首板,AI光通信+特种光纤+商业航天+次新,
涨停,300964,本川智能,19.9958,首板,AI服务器电源+PCB+机器人,
涨停,600052,东望时代,10.137,首板,拟购科冠聚合物+高阻隔PVDC乳液+锂电池,
涨停,605588,冠石科技,9.9929,首板,光掩膜版+半导体产业链+半导体显示,1
涨停,002436,兴森科技,10.0025,首板,1.6T光模块+CSP封装基板+FCBGA封装基板,22
涨停,002993,奥海科技,9.9954,首板,AI服务器电源+机器人电源+股权激励,1
涨停,600186,莲花控股,9.9835,首板,算力+阶跃星辰投资+半导体材料+调味品龙头,12
涨停,002141,贤丰控股,9.887,首板,覆铜板+PCB上游+扭亏为盈,23
涨停,600888,新疆众和,10.0441,首板,铝电子新材料+半导体上游+氧化铝项目+一季度净利增,9
涨停,603175,超颖电子,10.0012,首板,AI算力PCB+存储芯片,22
涨停,600397,江钨装备,10.0198,首板,钨钽并购+磁选装备+江西国资,17
涨停,600392,盛和资源,10.0038,首板,稀土+小金属概念+收购江阴加华+央企,9
涨停,000970,中科三环,9.9777,首板,人形机器人+轴向磁通电机+稀土永磁+中科院,10
